Customer_ID,Subscription_Category,Subscription_Plan,Monthly_Price,Signup_Date,Status
CUST00001,Music,Basic,9.99,10/2/2022,Churned
CUST00002,Music,Standard,14.99,4/21/2022,Active
CUST00003,Gaming,Premium,19.99,12/7/2022,Churned
CUST00004,Gaming,Basic,9.99,5/19/2022,Active
CUST00005,Sports,Premium,19.99,9/9/2022,Active
CUST00006,Music,Standard,14.99,3/3/2024,Churned
CUST00007,Music,Standard,14.99,3/13/2022,Active
CUST00008,Music,Standard,14.99,4/15/2022,Active
CUST00009,Music,Basic,9.99,5/10/2022,Active
CUST00010,News,Standard,14.99,8/11/2023,Active
CUST00011,Gaming,Basic,9.99,2/27/2024,Active
CUST00012,Education,Standard,14.99,7/31/2022,Active
CUST00013,Gaming,Premium,19.99,4/8/2024,Active
CUST00014,News,Premium,19.99,6/10/2023,Active
CUST00015,Education,Premium,19.99,3/26/2024,Churned
CUST00016,News,Standard,14.99,6/18/2023,Active
CUST00017,Sports,Basic,9.99,5/17/2024,Churned
CUST00018,Gaming,Basic,9.99,5/14/2023,Active
CUST00019,News,Standard,14.99,7/22/2023,Churned
CUST00020,News,Premium,19.99,4/13/2023,Active
CUST00021,Sports,Standard,14.99,1/17/2022,Active
CUST00022,Music,Premium,19.99,1/8/2023,Churned
CUST00023,Education,Basic,9.99,2/20/2023,Active
CUST00024,Gaming,Basic,9.99,10/17/2023,Churned
CUST00025,Sports,Premium,19.99,1/8/2024,Active
CUST00026,Education,Basic,9.99,6/7/2022,Active
CUST00027,Music,Standard,14.99,2/15/2022,Active
CUST00028,Gaming,Basic,9.99,1/22/2022,Churned
CUST00029,News,Premium,19.99,10/6/2022,Active
CUST00030,Education,Basic,9.99,4/22/2022,Active
CUST00031,Music,Standard,14.99,12/26/2023,Active
CUST00032,Education,Basic,9.99,3/25/2024,Active
CUST00033,News,Premium,19.99,12/12/2023,Active
CUST00034,News,Standard,14.99,9/26/2022,Active
CUST00035,News,Premium,19.99,12/9/2022,Active
CUST00036,Sports,Premium,19.99,10/14/2023,Churned
CUST00037,Sports,Standard,14.99,3/7/2022,Active
CUST00038,Music,Basic,9.99,2/1/2024,Churned
CUST00039,Education,Premium,19.99,2/28/2022,Active
CUST00040,Gaming,Standard,14.99,5/30/2022,Churned
CUST00041,Sports,Standard,14.99,1/13/2023,Active
CUST00042,Music,Standard,14.99,6/14/2023,Active
CUST00043,News,Premium,19.99,1/31/2023,Active
CUST00044,Music,Basic,9.99,4/11/2023,Active
CUST00045,News,Premium,19.99,1/28/2024,Active
CUST00046,Education,Basic,9.99,6/12/2022,Active
CUST00047,Education,Premium,19.99,6/12/2023,Active
CUST00048,Education,Premium,19.99,4/18/2022,Churned
CUST00049,Gaming,Basic,9.99,8/7/2023,Active
CUST00050,Sports,Premium,19.99,9/7/2022,Churned
